Provincia,Promedio variación porcentual
Buenos Aires,1.8055153457762683
Capital Federal,1.7851621172283814
Catamarca,4.1113394565654655
Chaco,0.27844983244148014
Chubut,3.1741998730568795
Corrientes,1.8525871034440404
Córdoba,1.779319226938335
Entre Ríos,0.9825735710301424
Formosa,4.6240805317037585
Jujuy,1.4123445182592624
La Pampa,2.4274437955744177
La Rioja,8.3779362415111
Mendoza,4.102830245952854
Misiones,2.853101832138801
Neuquén,2.6697354335327605
Río Negro,1.5576648434846943
Salta,0.9633555825729881
San Juan,5.025339902758293
San Luis,0.031363111636662486
Santa Cruz,2.3387143355652733
Santa Fe,0.9419266145871409
Santiago Del Estero,1.3363399824243565
Tierra Del Fuego,4.830431438758546
Tucumán,1.5925798068085175
