Provincia,Promedio variación porcentual
Buenos Aires,1.0699631950948383
Capital Federal,3.26072812140541
Catamarca,5.7503516052772286
Chaco,-0.1434151342586472
Chubut,0.8492207581926184
Corrientes,1.9603596563082055
Córdoba,1.477833402345975
Entre Ríos,0.2696686137674081
Formosa,8.820846780100755
Jujuy,1.1673894314436721
La Pampa,2.552010223773324
La Rioja,1.1596559126239079
Mendoza,2.4143485883547875
Misiones,1.854604695344955
Neuquén,3.170526584934191
Río Negro,1.151646776060823
Salta,0.566243534227938
San Juan,8.760798131481772
San Luis,0.595660375484424
Santa Cruz,0.10931369956345577
Santa Fe,0.6276695300334296
Santiago Del Estero,0.6552151411735202
Tierra Del Fuego,0.3783449219198202
Tucumán,3.0138064999493177
