Año,Trimestre,Provincia,Otros,<10 Mbps,10-50 Mbps,>50 Mbps
2022,3,Buenos Aires,65821,430296,1331733,3228688
2022,3,Capital Federal,105477,57292,185022,731683
2022,3,Catamarca,2208,3564,14223,49384
2022,3,Chaco,3711,19037,42037,106670
2022,3,Chubut,20024,60208,68982,145302
2022,3,Córdoba,13873,181700,193396,746479
2022,3,Corrientes,7107,30280,50524,109492
2022,3,Entre Ríos,16759,55527,94496,203466
2022,3,Formosa,589,24056,26217,58070
2022,3,Jujuy,0,22081,50847,109971
2022,3,La Pampa,3012,65331,25022,110537
2022,3,La Rioja,0,3636,32840,74169
2022,3,Mendoza,4771,60858,120069,264401
2022,3,Misiones,8350,41067,52764,133212
2022,3,Neuquén,14858,46332,34967,116522
2022,3,Río Negro,24271,43690,55356,118006
2022,3,Salta,6491,40371,72033,160199
2022,3,San Juan,11619,42959,39674,91366
2022,3,San Luis,14815,10036,97219,107255
2022,3,Santa Cruz,647,21579,23149,48713
2022,3,Santa Fe,20209,160251,313062,680479
2022,3,Santiago Del Estero,792,31358,74576,110679
2022,3,Tierra Del Fuego,3351,22164,27407,50462
2022,3,Tucumán,280,35115,68123,191710
2022,2,Buenos Aires,65849,436651,1353679,3347121
2022,2,Capital Federal,105607,59195,195933,801811
2022,2,Catamarca,2207,4165,16710,48315
2022,2,Chaco,3708,19918,43696,109673
2022,2,Chubut,20021,60549,67840,142435
2022,2,Córdoba,13426,189549,204680,760231
2022,2,Corrientes,7107,31178,51656,111678
2022,2,Entre Ríos,16759,57061,96781,210063
2022,2,Formosa,590,24452,26538,58573
2022,2,Jujuy,2453,22354,53116,104702
2022,2,La Pampa,3012,66338,25056,106383
2022,2,La Rioja,0,4011,33101,74002
2022,2,Mendoza,3940,62009,138518,258690
2022,2,Misiones,8350,41752,53958,135330
2022,2,Neuquén,18717,47653,30325,113809
2022,2,Río Negro,24270,44127,54750,118549
2022,2,Salta,6494,41220,74000,164007
2022,2,San Juan,11617,43049,39114,88379
2022,2,San Luis,14815,10716,96210,106926
2022,2,Santa Cruz,644,21590,23828,48391
2022,2,Santa Fe,17584,166706,322717,701298
2022,2,Santiago Del Estero,792,32622,73994,110863
2022,2,Tierra Del Fuego,3351,22222,27239,50346
2022,2,Tucumán,281,37187,71519,190577
2022,1,Buenos Aires,26280,461742,1372002,3371177
2022,1,Capital Federal,1717,64226,213694,830722
2022,1,Catamarca,2207,4918,19538,46333
2022,1,Chaco,7580,20272,53350,109710
2022,1,Chubut,15607,77173,65416,155713
2022,1,Córdoba,13104,195598,218702,767724
2022,1,Corrientes,7094,31580,60288,112164
2022,1,Entre Ríos,16750,58588,110849,213684
2022,1,Formosa,588,24772,14177,46217
2022,1,Jujuy,2442,24969,53811,106619
2022,1,La Pampa,2833,67205,25300,105278
2022,1,La Rioja,0,4457,33878,73818
2022,1,Mendoza,3287,72237,142767,256356
2022,1,Misiones,8349,39999,64708,131858
2022,1,Neuquén,7885,49390,32521,115359
2022,1,Río Negro,22652,47406,52006,119577
2022,1,Salta,6489,37779,76424,162209
2022,1,San Juan,2465,45906,37624,85302
2022,1,San Luis,28589,12809,78445,91254
2022,1,Santa Cruz,485,22120,24418,48507
2022,1,Santa Fe,18444,175814,334099,710677
2022,1,Santiago Del Estero,792,33279,74117,110949
2022,1,Tierra Del Fuego,2421,23238,26012,50130
2022,1,Tucumán,273,39155,72311,188053
2021,4,Buenos Aires,22958,493379,1390580,3397238
2021,4,Capital Federal,0,68625,243889,873220
2021,4,Catamarca,2233,6116,20914,44843
2021,4,Chaco,7585,21242,56512,113139
2021,4,Chubut,15763,79948,62224,144389
2021,4,Córdoba,12607,203577,232503,784401
2021,4,Corrientes,7082,32463,56471,108793
2021,4,Entre Ríos,16583,61911,109280,216324
2021,4,Formosa,1967,23011,14940,45070
2021,4,Jujuy,2324,23688,54482,104680
