Provincia,Latitud,Longitud
Buenos Aires,-35.2853,-60.7237
Catamarca,-27.4710,-66.1638
Chaco,-26.3864,-60.7659
Chubut,-43.6848,-68.5474
Córdoba,-31.3690,-64.2795
Corrientes,-28.7838,-57.8179
Entre Ríos,-32.0589,-59.2014
Formosa,-25.5469,-59.5000
Jujuy,-23.3200,-65.4107
La Pampa,-36.6167,-66.1500
La Rioja,-29.4323,-66.8507
Mendoza,-33.1157,-68.6051
Misiones,-26.8754,-54.6518
Neuquén,-38.9468,-68.0739
Río Negro,-40.7647,-68.2797
Salta,-24.2991,-64.8146
San Juan,-31.5375,-68.5202
San Luis,-33.7578,-66.0283
Santa Cruz,-49.9675,-68.3869
Santa Fe,-31.6232,-60.6943
Santiago del Estero,-27.7828,-63.2524
Tierra del Fuego,-54.8019,-68.3030
Tucumán,-26.9478,-65.3642
